method,scen,ran,KLdm,KLDs
meta,1,1,0.04035022643938834,0.022172455786321727
meta,1,2,1.4830368977547561,2.5327520875413385
meta,1,3,1.0829000864604503,1.2821683212422954
meta,2,1,0.08302095011766539,0.013795866926228095
meta,2,2,0.5653145672655497,0.6970739401040799
meta,2,3,0.7522039790728667,0.9096855624056785
meta,3,1,0.10685872120126971,0.03151167879903306
meta,3,2,1.08265138229208,1.2907641343849228
meta,3,3,1.351705725477176,1.4230682090763171
meta,4,1,0.1264490483566589,0.04061950443055598
meta,4,2,0.6617276743056609,0.7622043910310579
meta,4,3,0.7179962176361193,0.6222103541509141
metafp,1,1,0.02331148931730583,0.020283997733353543
metafp,1,2,1.4651837441730071,2.523209885370742
metafp,1,3,1.0961566548715926,1.2944746949595471
metafp,2,1,0.6618830312149182,0.03552802129154565
metafp,2,2,1.168040476584757,0.68427892713337235
metafp,2,3,1.3749304182137323,0.9032956174643686
metafp,3,1,1.8426476292008356,0.027946930644688783
metafp,3,2,2.8926656660318217,1.3463516337963517
metafp,3,3,3.1583301894968883,1.3937408303074243
metafp,4,1,4.918686212382172,0.0324867521551344
metafp,4,2,5.417275466972961,0.8180094227624269
metafp,4,3,5.475695287382534,0.6832308837096978
mv,1,1,0.04069765691895393,0.022368794313245347
mv,1,2,1.4789665083916732,2.5193715746263625
mv,1,3,1.1115737440177125,1.2911415121789371
mv,2,1,0.1255570543507115,0.011839923288698867
mv,2,2,0.6091327321265738,0.690907567979686
mv,2,3,0.7982011166022936,0.9024436694976637
mv,3,1,0.15679507366393342,0.030674698775864116
mv,3,2,1.1898160968325255,1.2989037299547554
mv,3,3,1.4359480662072819,1.3669040025929164
mv,4,1,0.16952887993516455,0.03521577408145403
mv,4,2,0.6790259474524167,0.6884732436689088
mv,4,3,0.7645988269587591,0.6196717852012006
mvfp,1,1,0.017045928476131032,0.020263346140661824
mvfp,1,2,1.4608952714134193,2.521321825663955
mvfp,1,3,1.085186799777543,1.2959353359289663
mvfp,2,1,0.0158948481395093,0.0158172495423263
mvfp,2,2,0.49958839454838255,0.6879268781440252
mvfp,2,3,0.681494175583,0.898000424461105
mvfp,3,1,0.023757647568626535,0.01849323856073875
mvfp,3,2,1.0468706877813543,1.2976041144149737
mvfp,3,3,1.3020601194598358,1.3668764307990815
mvfp,4,1,6.696624558343741,0.07138000614540549
mvfp,4,2,7.169143997875097,0.6772303850665995
mvfp,4,3,7.271436188904968,0.6034213635805642
